x,y,z,interval,sample,frame
-0.24862,-0.21454,-1.78571,1,34.4,34.4
-0.227,-0.23833,-1.78026,1,34.5,34.5
-0.2062,-0.26282,-1.77262,1,34.6,34.6
-0.1863,-0.28812,-1.76286,1,34.7,34.7
-0.16738,-0.31431,-1.75107,1,34.8,34.8
-0.14952,-0.34149,-1.73731,1,34.9,34.9
-0.13281,-0.36976,-1.72166,1,35.0,35.0
-0.11732,-0.39913,-1.70416,1,35.1,35.1
-0.10322,-0.42933,-1.68473,1,35.2,35.2
-0.09066,-0.45996,-1.66326,1,35.3,35.3
-0.07981,-0.49068,-1.63963,1,35.4,35.4
-0.07083,-0.52111,-1.61374,1,35.5,35.5
-0.06389,-0.55089,-1.58546,1,35.6,35.6
-0.05915,-0.57965,-1.55469,1,35.7,35.7
-0.05678,-0.60702,-1.52132,1,35.8,35.8
-0.05693,-0.63263,-1.48522,1,35.9,35.9
-0.05977,-0.65612,-1.44629,1,36.0,36.0
-0.06536,-0.67717,-1.40453,1,36.1,36.1
-0.07338,-0.69569,-1.36041,1,36.2,36.2
-0.08339,-0.71166,-1.31451,1,36.3,36.3
-0.09497,-0.72503,-1.26742,1,36.4,36.4
-0.10768,-0.73578,-1.21973,1,36.5,36.5
-0.12109,-0.74387,-1.17202,1,36.6,36.6
-0.13478,-0.74925,-1.12487,1,36.7,36.7
-0.14832,-0.75191,-1.07887,1,36.8,36.8
-0.16126,-0.75181,-1.03461,1,36.9,36.9
-0.1732,-0.7489,-0.99267,1,37.0,37.0
-0.18395,-0.74326,-0.95338,1,37.1,37.1
-0.19445,-0.73529,-0.91609,1,37.2,37.2
-0.20586,-0.72551,-0.87987,1,37.3,37.3
-0.21939,-0.71443,-0.84383,1,37.4,37.4
-0.23621,-0.70255,-0.80703,1,37.5,37.5
-0.25751,-0.69039,-0.76858,1,37.6,37.6
-0.28447,-0.67845,-0.72755,1,37.7,37.7
-0.31828,-0.66725,-0.68303,1,37.8,37.8
-0.36011,-0.65729,-0.63412,1,37.9,37.9
-0.41117,-0.64908,-0.57989,1,38.0,38.0
-0.472,-0.64303,-0.51973,1,38.1,38.1
-0.54066,-0.63911,-0.45423,1,38.2,38.2
-0.61461,-0.63718,-0.38426,1,38.3,38.3
-0.69126,-0.63713,-0.3107,1,38.4,38.4
-0.76806,-0.63882,-0.23443,1,38.5,38.5
-0.84244,-0.64211,-0.15632,1,38.6,38.6
-0.91184,-0.64688,-0.07727,1,38.7,38.7
-0.97371,-0.65299,0.00187,1,38.8,38.8
